gene_name	5m	15m	30m	adapt	Class
CAGL0H05181g	0.0459	0.1181	1.1091	-3.2129	Drug_transport
CAGL0F04213g	0.1477	-0.0669	0.3783	-2.6245	Drug_transport
CAGL0J08294g	0.0028	-0.5422	0.3349	-4.0257	Drug_transport
CAGL0L07766g	0.2217	1.2158	-0.1803	-7.0786	Drug_transport
CAGL0M09020g	8.00E-04	0.5761	1.7454	-7.9809	Drug_transport
CAGL0M03465g	0.1104	0.3488	1.0197	-8.6274	Drug_transport
CAGL0B02343g	-0.3932	1.0543	0.8507	4.1116	Drug_transport
CAGL0L08052g	0.0955	0.2618	0.4389	3.91	Drug_transport
CAGL0J01375g	0.1853	0.1845	0.1033	2.9108	Drug_transport
CAGL0H03839g	0.0509	0.3236	1.4065	1.846	Drug_transport
CAGL0K04565g	-0.6409	0	1.0847	3.9755	Drug_transport
CAGL0M08448g	-0.2211	-0.4694	-1.6802	4.5833	Drug_transport
CAGL0K10362g	-0.2149	-1.1579	-2.6803	3.3966	Drug_transport
CAGL0B04455g	0.3629	0.4442	-0.3208	1.7348	Drug_transport
CAGL0L02079g	0.181	-0.0514	0.0613	1.9436	Drug_transport
CAGL0B01012g	1.0589	0.0053	-0.9425	1.7842	Drug_transport
CAGL0J00495g	-0.1971	-0.5076	-0.7932	2.6343	Drug_transport
CAGL0L10912g	-0.2682	0.4523	-1.3464	2.2978	Drug_transport
CAGL0H03399g	0.2321	0.0656	0.0635	0.8053	Drug_transport
CAGL0L09020g	-0.1517	-0.0212	0.2529	1.0379	Drug_transport
CAGL0D03036g	0.3566	-0.3165	0.5525	0.3301	Drug_transport
CAGL0K07436g	-8.00E-04	-0.1181	-0.3377	0.2477	Drug_transport
CAGL0H10538g	-0.0772	-0.3654	-0.296	0.4122	Drug_transport
CAGL0K02365g	-0.1504	-0.2389	-0.3505	0.2975	Drug_transport
CAGL0D01606g	-0.0841	-0.0061	-0.7439	-0.0843	Drug_transport
CgAQR1	-0.4434	-0.7527	-2.3088	8.3818	Drug_transport
CgCDR1	0.3514	-0.4411	-1.5617	0.6819	Drug_transport
CgDTR1	0.3569	0.0267	-0.134	0.2536	Drug_transport
CgFLR1	0.0611	1.8242	2.3715	0.7884	Drug_transport
CgFLR2	0.2004	0.9021	0.4871	-0.524	Drug_transport
CgFPS1	0.196	1.0268	0.096	-1.2219	Drug_transport
CgGAP1	0.3569	0.5745	1.5523	-2.1037	Drug_transport
CgPDH1	0.0517	0.5324	0.9703	-3.1062	Drug_transport
CgQDR2	-0.5413	1.7718	0.1556	-2.303	Drug_transport
CgSNF7	0.5849	0.7764	0.9788	-2.2373	Drug_transport
CgSNQ2	0.1509	0.8296	0.9814	-1.4146	Drug_transport
CgTHI7	-0.205	-0.5779	0.1101	-1.7977	Drug_transport
CgTNA1	0.3066	0.0612	-0.3703	3.4624	Drug_transport
CgTPO1_1	0.1815	-0.1204	-2.8284	0.8442	Drug_transport
CgTPO3	0.4221	3.6886	0.2445	-0.2427	Drug_transport
CgVPS24	-0.0242	0.152	0.3751	-1.6351	Drug_transport
CgVPS27	0.0508	0.7557	1.3867	-0.9717	Drug_transport
CgYHB1	0.0994	0.2396	-0.7246	0.1884	Drug_transport
CgYOR1	-0.0925	-0.0025	-0.2945	-1.2698	Drug_transport
CgICL1	-0.090957349	0.114828858	2.309857317	-5.698059294	Virulence
CgTPO1_2	0.175286525	1.45544044	0.629922631	-5.275590462	Virulence
CgSNF3	0.327786486	0.074582208	0.972144952	-3.085495179	Virulence
CgCNA1	0.37775736	0.723329634	0.783824291	-2.934077984	Virulence
CgCNB1	0.168141526	1.493250892	2.245246896	-2.775942279	Virulence
CgRAM2	-0.004261862	0.180484142	-0.187405899	-2.086973936	Virulence
CgATG1	0.196882996	1.381261421	1.708614123	-1.947847258	Virulence
CgGAL11A	0.066222392	-0.073926681	-0.321773621	-1.780484566	Virulence
CgSEF1	0.069445282	-0.482931547	0.00109281	-1.758607463	Virulence
CgHOG1	0.206192011	0.540154581	0.416096945	-1.55421591	Virulence
CgAUS1	0.055053253	0.198173727	-0.376023535	-1.432586963	Virulence
CgTRP1	0.224275163	0.55507244	1.258136332	-1.29995063	Virulence
CgVPS15	-0.071534136	-0.105693332	0.363100519	-0.954588061	Virulence
CgVPH2	0.186896918	1.538234996	1.879594688	-0.935791634	Virulence
CAGL0J11506g	-0.094025733	-0.81215332	-0.022109127	-0.835727904	Virulence
CgINO2	-0.353129042	-0.791328753	-0.475694547	-0.83063096	Virulence
CgSTE20	-0.055174746	0.041128372	-0.378784934	-0.793313634	Virulence
CgAFT1	-0.217663868	-0.230149751	-0.052722032	-0.790578677	Virulence
CAGL0L02585g	0.06505603	-0.374208982	-1.167363529	-0.53441641	Virulence
CgVPS34	0.045122542	-0.171699566	0.701461212	-0.133966313	Virulence
CgPDR1	0.301561326	0.148378441	0.663204396	0.248180579	Virulence
CgDTR1	0.356880443	0.026704308	-0.133959023	0.253637956	Virulence
CgERG20	-0.243087488	-0.272081512	-0.951248703	0.3961913	Virulence
CgACE2	-0.037440165	-1.168441412	-1.589390642	0.427374571	Virulence
CgHIS3	0.308530025	2.134262989	3.475591521	0.802348571	Virulence
CgTPO1_1	0.18152747	-0.120429805	-2.828373389	0.844165343	Virulence
CgADA2	-0.0038193	-0.029110019	-0.130487629	0.896085951	Virulence
CgANP1	0.118694806	-0.208709464	-0.386421201	1.465438313	Virulence
CgSTE12	-0.375770013	-1.06092795	-0.906819671	2.106080768	Virulence
CgHIR3	-0.10840112	-0.65413632	-0.419302402	2.195434167	Virulence
CgTOP2	0.029346796	-0.24277545	-0.622222084	2.692908956	Virulence
CgMNN2	-0.03508117	-0.469409916	-1.058925982	3.127476388	Virulence
CgTEF3	0.325343425	0.234843402	-0.672652352	4.763962069	Virulence
